Timestamp,Milliseconds,X,Y,Z
2018-09-15 19:27:26,1342,18.618546,4.6779633,-5.2953186
2018-09-15 19:27:26,1353,17.745178,3.3116608,-5.687744
2018-09-15 19:27:26,1362,10.401596,3.0221405,-1.5673065
2018-09-15 19:27:26,1372,6.661621,2.6488495,2.0937195
2018-09-15 19:27:26,1383,3.9673004,2.617752,4.680359
2018-09-15 19:27:26,1392,2.5651093,1.7276154,4.589432
2018-09-15 19:27:26,1402,1.385437,1.5074768,4.5750732
2018-09-15 19:27:26,1413,0.7992096,2.2899323,5.7762756
2018-09-15 19:27:26,1422,-0.46180725,2.0075836,7.697708
2018-09-15 19:27:26,1432,-0.8638153,0.9451599,9.506683
2018-09-15 19:27:26,1442,0.33499146,1.3782654,9.9039
2018-09-15 19:27:26,1452,4.0247345,1.9932251,9.57608
2018-09-15 19:27:26,1463,8.039886,3.6681976,6.7693024
2018-09-15 19:27:26,1472,11.844467,3.9792633,-3.7160492
2018-09-15 19:27:26,1482,15.208786,2.4406738,-7.137787
2018-09-15 19:27:26,1493,17.682968,2.526825,-6.620941
2018-09-15 19:27:26,1502,15.254242,3.7591248,-5.704483
2018-09-15 19:27:26,1512,14.239685,3.5796661,-4.936386
2018-09-15 19:27:26,1522,13.631912,3.7782745,-4.4075775
2018-09-15 19:27:26,1532,12.96431,4.199402,-5.1589203
2018-09-15 19:27:26,1542,12.191437,4.19223,-5.522629
2018-09-15 19:27:26,1553,11.715256,4.3046875,-4.433899
2018-09-15 19:27:26,1562,8.111664,3.780655,1.2275238
2018-09-15 19:27:26,1572,5.52742,2.531601,5.781067
2018-09-15 19:27:26,1583,2.4478607,1.076767,11.877975
2018-09-15 19:27:26,1592,2.0482635,1.2179413,14.079361
2018-09-15 19:27:26,1602,2.313858,1.1988068,14.723038
2018-09-15 19:27:26,1612,3.3044891,0.71784973,13.234695
2018-09-15 19:27:26,1623,5.412567,0.6891327,10.987839
2018-09-15 19:27:26,1632,8.389236,0.8279114,8.056641
2018-09-15 19:27:26,1642,12.397217,1.1581268,4.118042
2018-09-15 19:27:26,1652,15.4743805,1.655838,1.426117
2018-09-15 19:27:26,1662,17.283356,2.4263153,-0.6412811
2018-09-15 19:27:26,1673,18.398422,3.4289093,-3.4743805
2018-09-15 19:27:26,1682,17.783463,4.043869,-5.905487
2018-09-15 19:27:26,1692,16.173096,3.981659,-5.9078827
2018-09-15 19:27:26,1702,11.672195,3.8931274,-3.1417694
2018-09-15 19:27:26,1712,8.788834,2.8115692,0.071777344
2018-09-15 19:27:26,1723,6.111267,1.8783722,3.7591248
2018-09-15 19:27:26,1732,3.9242249,0.8901367,7.35553
2018-09-15 19:27:26,1742,2.8833466,0.79441833,10.389633
2018-09-15 19:27:26,1753,2.3928223,1.5003052,12.550354
2018-09-15 19:27:26,1762,3.1776733,0.6771698,11.942581
2018-09-15 19:27:26,1772,5.2666016,0.4019928,8.350952
2018-09-15 19:27:26,1782,8.2456665,1.174881,4.692322
2018-09-15 19:27:26,1792,10.861023,1.3591309,1.6319122
2018-09-15 19:27:26,1803,14.232513,1.5696869,-3.048462
2018-09-15 19:27:26,1812,17.235504,2.3617096,-8.008774
2018-09-15 19:27:26,1822,19.68097,3.735199,-13.325623
2018-09-15 19:27:26,1833,20.60939,3.8763733,-15.046066
2018-09-15 19:27:26,1842,20.57109,4.319046,-15.455246
2018-09-15 19:27:26,1852,19.121048,4.8598175,-13.643875
2018-09-15 19:27:26,1863,14.222931,3.0747833,-8.920441
2018-09-15 19:27:26,1872,8.240875,0.5694885,-3.373886
2018-09-15 19:27:26,1882,1.2538452,-1.179657,3.6825562
2018-09-15 19:27:26,1892,-3.488739,-2.1894379,9.052048
2018-09-15 19:27:26,1902,-9.291336,-3.706482,19.848465
2018-09-15 19:27:26,1912,-10.482956,-4.1276245,23.179276
2018-09-15 19:27:26,1923,-10.609772,-4.240082,23.851654
2018-09-15 19:27:26,1932,-7.5684967,-4.0821533,19.972885
2018-09-15 19:27:26,1942,-0.5144501,-3.8117676,11.89711
2018-09-15 19:27:26,1952,7.2335052,-2.376068,4.170685
2018-09-15 19:27:26,1963,13.562515,0.19142151,-5.3934174
2018-09-15 19:27:26,1972,18.666412,1.7036896,-14.562714
2018-09-15 19:27:26,1982,22.205399,1.9094696,-16.840683
2018-09-15 19:27:26,1992,24.112473,2.670395,-16.278366
2018-09-15 19:27:26,2003,22.88974,3.8404846,-14.414368
2018-09-15 19:27:26,2012,21.030518,4.240082,-10.604996
2018-09-15 19:27:26,2022,18.999008,3.7495575,-6.6089783
2018-09-15 19:27:26,2032,16.21376,3.8069763,-4.2831573
2018-09-15 19:27:26,2043,9.748352,2.8163452,-2.1511536
2018-09-15 19:27:26,2052,3.2111664,1.0815582,1.7443695
2018-09-15 19:27:26,2062,-3.115448,-0.653244,6.714264
2018-09-15 19:27:26,2072,-7.5756836,-2.5531464,12.732208
2018-09-15 19:27:26,2082,-10.229324,-3.2303162,16.316666
2018-09-15 19:27:26,2093,-10.8059845,-4.1204376,16.996216
2018-09-15 19:27:26,2102,-9.212372,-3.8739777,15.326035
